id,home_team,home_score,away_team,away_score,year,month,day,season
1,2,95,1,106,2020,12,31,2020_2021
2,4,92,3,116,2020,12,31,2020_2021
3,6,80,5,113,2020,12,31,2020_2021
4,8,122,7,119,2020,12,31,2020_2021
5,10,130,9,133,2020,12,31,2020_2021
6,12,119,11,99,2020,12,31,2020_2021
7,14,100,13,83,2020,12,31,2020_2021
8,16,107,15,121,2020,12,30,2020_2021
9,18,128,17,105,2020,12,30,2020_2021
10,20,99,19,118,2020,12,30,2020_2021
11,22,145,21,141,2020,12,30,2020_2021
12,24,126,23,107,2020,12,30,2020_2021
13,26,119,25,108,2020,12,30,2020_2021
14,1,111,5,86,2020,12,29,2020_2021
15,10,107,9,115,2020,12,29,2020_2021
16,11,86,13,95,2020,12,29,2020_2021
17,7,125,27,115,2020,12,29,2020_2021
18,29,106,28,116,2020,12,29,2020_2021
19,6,107,4,118,2020,12,29,2020_2021
20,18,124,30,101,2020,12,29,2020_2021
21,26,97,25,144,2020,12,29,2020_2021
22,3,100,14,93,2020,12,29,2020_2021
23,12,111,24,116,2020,12,29,2020_2021
24,21,128,29,120,2020,12,28,2020_2021
25,15,107,17,115,2020,12,28,2020_2021
26,22,111,23,116,2020,12,28,2020_2021
27,27,124,8,111,2020,12,28,2020_2021
28,6,109,2,110,2020,12,28,2020_2021
29,12,108,24,107,2020,12,27,2020_2021
30,7,100,1,116,2020,12,27,2020_2021
31,5,98,16,95,2020,12,27,2020_2021
32,10,113,4,120,2020,12,27,2020_2021
33,19,106,22,104,2020,12,27,2020_2021
34,9,128,28,129,2020,12,27,2020_2021
35,15,127,30,91,2020,12,27,2020_2021
36,18,73,20,124,2020,12,27,2020_2021
37,13,130,25,110,2020,12,27,2020_2021
38,11,118,3,94,2020,12,27,2020_2021
39,29,119,11,128,2020,12,26,2020_2021
40,17,128,8,126,2020,12,26,2020_2021
41,9,106,12,125,2020,12,26,2020_2021
42,7,106,1,103,2020,12,26,2020_2021
43,23,112,21,122,2020,12,26,2020_2021
44,10,120,4,130,2020,12,26,2020_2021
45,2,111,30,116,2020,12,26,2020_2021
46,16,119,14,114,2020,12,26,2020_2021
47,13,89,3,109,2020,12,26,2020_2021
48,19,107,6,109,2020,12,26,2020_2021
49,27,108,18,121,2020,12,25,2020_2021
50,26,111,5,98,2020,12,25,2020_2021
51,24,95,22,123,2020,12,25,2020_2021
52,15,138,20,115,2020,12,25,2020_2021
53,25,138,28,99,2020,12,25,2020_2021
54,17,100,2,120,2020,12,23,2020_2021
55,24,122,25,121,2020,12,23,2020_2021
56,9,104,21,124,2020,12,23,2020_2021
57,11,121,19,114,2020,12,23,2020_2021
58,3,113,10,107,2020,12,23,2020_2021
59,12,121,13,107,2020,12,23,2020_2021
60,23,119,16,131,2020,12,23,2020_2021
61,30,111,29,101,2020,12,23,2020_2021
62,14,99,5,113,2020,12,23,2020_2021
