id,matchup_id,game_id,result,team_score,opponent_score,point_diff
1,1,1,W,106,95,11
2,2,1,L,95,106,-11
3,3,2,W,116,92,24
4,4,2,L,92,116,-24
5,5,3,W,113,80,33
6,6,3,L,80,113,-33
7,7,4,L,119,122,-3
8,8,4,W,122,119,3
9,9,5,W,133,130,3
10,10,5,L,130,133,-3
11,11,6,L,99,119,-20
12,12,6,W,119,99,20
13,13,7,L,83,100,-17
14,14,7,W,100,83,17
15,15,8,W,121,107,14
16,16,8,L,107,121,-14
17,17,9,L,105,128,-23
18,18,9,W,128,105,23
19,19,10,W,118,99,19
20,20,10,L,99,118,-19
21,21,11,L,141,145,-4
22,22,11,W,145,141,4
23,23,12,L,107,126,-19
24,24,12,W,126,107,19
25,25,13,L,108,119,-11
26,26,13,W,119,108,11
27,27,14,L,86,111,-25
28,28,14,W,111,86,25
29,9,15,W,115,107,8
30,10,15,L,107,115,-8
31,29,16,W,95,86,9
32,30,16,L,86,95,-9
33,31,17,L,115,125,-10
34,32,17,W,125,115,10
35,33,18,W,116,106,10
36,34,18,L,106,116,-10
37,35,19,W,118,107,11
38,36,19,L,107,118,-11
39,37,20,L,101,124,-23
40,38,20,W,124,101,23
41,25,21,W,144,97,47
42,26,21,L,97,144,-47
43,39,22,L,93,100,-7
44,40,22,W,100,93,7
45,41,23,W,116,111,5
46,42,23,L,111,116,-5
47,43,24,L,120,128,-8
48,44,24,W,128,120,8
49,45,25,W,115,107,8
50,46,25,L,107,115,-8
51,47,26,W,116,111,5
52,48,26,L,111,116,-5
53,49,27,L,111,124,-13
54,50,27,W,124,111,13
55,51,28,W,110,109,1
56,52,28,L,109,110,-1
57,41,29,L,107,108,-1
58,42,29,W,108,107,1
59,53,30,W,116,100,16
60,54,30,L,100,116,-16
61,55,31,L,95,98,-3
62,56,31,W,98,95,3
63,57,32,W,120,113,7
64,58,32,L,113,120,-7
65,59,33,L,104,106,-2
66,60,33,W,106,104,2
67,61,34,W,129,128,1
68,62,34,L,128,129,-1
69,63,35,L,91,127,-36
70,64,35,W,127,91,36
71,65,36,W,124,73,51
72,66,36,L,73,124,-51
73,67,37,L,110,130,-20
74,68,37,W,130,110,20
75,69,38,L,94,118,-24
76,70,38,W,118,94,24
77,71,39,W,128,119,9
78,72,39,L,119,128,-9
79,73,40,L,126,128,-2
80,74,40,W,128,126,2
81,75,41,W,125,106,19
82,76,41,L,106,125,-19
83,53,42,L,103,106,-3
84,54,42,W,106,103,3
85,77,43,W,122,112,10
86,78,43,L,112,122,-10
87,57,44,W,130,120,10
88,58,44,L,120,130,-10
89,79,45,W,116,111,5
90,80,45,L,111,116,-5
91,81,46,L,114,119,-5
92,82,46,W,119,114,5
93,83,47,W,109,89,20
94,84,47,L,89,109,-20
95,85,48,W,109,107,2
96,86,48,L,107,109,-2
97,87,49,W,121,108,13
98,88,49,L,108,121,-13
99,89,50,L,98,111,-13
100,90,50,W,111,98,13
101,91,51,W,123,95,28
102,92,51,L,95,123,-28
103,93,52,L,115,138,-23
104,94,52,W,138,115,23
105,95,53,L,99,138,-39
106,96,53,W,138,99,39
107,97,54,W,120,100,20
108,98,54,L,100,120,-20
109,99,55,L,121,122,-1
110,100,55,W,122,121,1
111,101,56,W,124,104,20
112,102,56,L,104,124,-20
113,103,57,L,114,121,-7
114,104,57,W,121,114,7
115,105,58,L,107,113,-6
116,106,58,W,113,107,6
117,107,59,L,107,121,-14
118,108,59,W,121,107,14
119,109,60,W,131,119,12
120,110,60,L,119,131,-12
121,111,61,L,101,111,-10
122,112,61,W,111,101,10
123,113,62,W,113,99,14
124,114,62,L,99,113,-14
125,32,63,W,124,122,2
126,31,63,L,122,124,-2
127,115,64,L,107,113,-6
128,116,64,W,113,107,6
129,117,65,L,102,106,-4
130,118,65,W,106,102,4
131,119,66,W,116,109,7
132,120,66,L,109,116,-7
133,121,67,L,99,125,-26
134,122,67,W,125,99,26
135,123,68,W,106,93,13
136,124,68,L,93,106,-13
137,124,69,W,111,108,3
138,123,69,L,108,111,-3
139,123,70,W,102,96,6
140,124,70,L,96,102,-6
141,123,71,L,104,115,-11
142,124,71,W,115,104,11
143,124,72,L,114,124,-10
144,123,72,W,124,114,10
145,124,73,L,98,116,-18
146,123,73,W,116,98,18
147,125,74,L,113,125,-12
148,126,74,W,125,113,12
149,127,75,L,107,117,-10
150,128,75,W,117,107,10
151,126,76,L,108,121,-13
152,125,76,W,121,108,13
153,128,77,W,114,108,6
154,127,77,L,108,114,-6
155,125,78,L,109,112,-3
156,126,78,W,112,109,3
157,128,79,L,106,114,-8
158,127,79,W,114,106,8
159,127,80,L,103,105,-2
