id,team,opponent
1,Phoenix Suns,Utah Jazz
2,Utah Jazz,Phoenix Suns
3,Philadelphia 76ers,Orlando Magic
4,Orlando Magic,Philadelphia 76ers
5,New Orleans Pelicans,Oklahoma City Thunder
6,Oklahoma City Thunder,New Orleans Pelicans
7,Sacramento Kings,Houston Rockets
8,Houston Rockets,Sacramento Kings
9,Chicago Bulls,Washington Wizards
10,Washington Wizards,Chicago Bulls
11,Cleveland Cavaliers,Indiana Pacers
12,Indiana Pacers,Cleveland Cavaliers
13,New York Knicks,Toronto Raptors
14,Toronto Raptors,New York Knicks
15,Los Angeles Lakers,San Antonio Spurs
16,San Antonio Spurs,Los Angeles Lakers
17,Portland Trail Blazers,Los Angeles Clippers
18,Los Angeles Clippers,Portland Trail Blazers
19,Charlotte Hornets,Dallas Mavericks
20,Dallas Mavericks,Charlotte Hornets
21,Atlanta Hawks,Brooklyn Nets
22,Brooklyn Nets,Atlanta Hawks
23,Memphis Grizzlies,Boston Celtics
24,Boston Celtics,Memphis Grizzlies
25,Milwaukee Bucks,Miami Heat
26,Miami Heat,Milwaukee Bucks
27,New Orleans Pelicans,Phoenix Suns
28,Phoenix Suns,New Orleans Pelicans
29,New York Knicks,Cleveland Cavaliers
30,Cleveland Cavaliers,New York Knicks
31,Denver Nuggets,Sacramento Kings
32,Sacramento Kings,Denver Nuggets
33,Golden State Warriors,Detroit Pistons
34,Detroit Pistons,Golden State Warriors
35,Orlando Magic,Oklahoma City Thunder
36,Oklahoma City Thunder,Orlando Magic
37,Minnesota Timberwolves,Los Angeles Clippers
38,Los Angeles Clippers,Minnesota Timberwolves
39,Toronto Raptors,Philadelphia 76ers
40,Philadelphia 76ers,Toronto Raptors
41,Boston Celtics,Indiana Pacers
42,Indiana Pacers,Boston Celtics
43,Detroit Pistons,Atlanta Hawks
44,Atlanta Hawks,Detroit Pistons
45,Portland Trail Blazers,Los Angeles Lakers
46,Los Angeles Lakers,Portland Trail Blazers
47,Memphis Grizzlies,Brooklyn Nets
48,Brooklyn Nets,Memphis Grizzlies
49,Houston Rockets,Denver Nuggets
50,Denver Nuggets,Houston Rockets
51,Utah Jazz,Oklahoma City Thunder
52,Oklahoma City Thunder,Utah Jazz
53,Phoenix Suns,Sacramento Kings
54,Sacramento Kings,Phoenix Suns
55,San Antonio Spurs,New Orleans Pelicans
56,New Orleans Pelicans,San Antonio Spurs
57,Orlando Magic,Washington Wizards
58,Washington Wizards,Orlando Magic
59,Brooklyn Nets,Charlotte Hornets
60,Charlotte Hornets,Brooklyn Nets
61,Golden State Warriors,Chicago Bulls
62,Chicago Bulls,Golden State Warriors
63,Minnesota Timberwolves,Los Angeles Lakers
64,Los Angeles Lakers,Minnesota Timberwolves
65,Dallas Mavericks,Los Angeles Clippers
66,Los Angeles Clippers,Dallas Mavericks
67,Milwaukee Bucks,New York Knicks
68,New York Knicks,Milwaukee Bucks
69,Philadelphia 76ers,Cleveland Cavaliers
70,Cleveland Cavaliers,Philadelphia 76ers
71,Cleveland Cavaliers,Detroit Pistons
72,Detroit Pistons,Cleveland Cavaliers
73,Houston Rockets,Portland Trail Blazers
74,Portland Trail Blazers,Houston Rockets
75,Indiana Pacers,Chicago Bulls
76,Chicago Bulls,Indiana Pacers
77,Atlanta Hawks,Memphis Grizzlies
78,Memphis Grizzlies,Atlanta Hawks
79,Minnesota Timberwolves,Utah Jazz
80,Utah Jazz,Minnesota Timberwolves
81,Toronto Raptors,San Antonio Spurs
82,San Antonio Spurs,Toronto Raptors
83,Philadelphia 76ers,New York Knicks
84,New York Knicks,Philadelphia 76ers
85,Oklahoma City Thunder,Charlotte Hornets
86,Charlotte Hornets,Oklahoma City Thunder
87,Los Angeles Clippers,Denver Nuggets
88,Denver Nuggets,Los Angeles Clippers
89,New Orleans Pelicans,Miami Heat
90,Miami Heat,New Orleans Pelicans
91,Brooklyn Nets,Boston Celtics
92,Boston Celtics,Brooklyn Nets
93,Dallas Mavericks,Los Angeles Lakers
94,Los Angeles Lakers,Dallas Mavericks
95,Golden State Warriors,Milwaukee Bucks
96,Milwaukee Bucks,Golden State Warriors
97,Utah Jazz,Portland Trail Blazers
98,Portland Trail Blazers,Utah Jazz
99,Milwaukee Bucks,Boston Celtics
100,Boston Celtics,Milwaukee Bucks
101,Atlanta Hawks,Chicago Bulls
102,Chicago Bulls,Atlanta Hawks
103,Charlotte Hornets,Cleveland Cavaliers
104,Cleveland Cavaliers,Charlotte Hornets
105,Washington Wizards,Philadelphia 76ers
106,Philadelphia 76ers,Washington Wizards
107,New York Knicks,Indiana Pacers
108,Indiana Pacers,New York Knicks
109,San Antonio Spurs,Memphis Grizzlies
110,Memphis Grizzlies,San Antonio Spurs
111,Detroit Pistons,Minnesota Timberwolves
112,Minnesota Timberwolves,Detroit Pistons
