id,team
1,Phoenix Suns
2,Utah Jazz
3,Philadelphia 76ers
4,Orlando Magic
5,New Orleans Pelicans
6,Oklahoma City Thunder
7,Sacramento Kings
8,Houston Rockets
9,Chicago Bulls
10,Washington Wizards
11,Cleveland Cavaliers
12,Indiana Pacers
13,New York Knicks
14,Toronto Raptors
15,Los Angeles Lakers
16,San Antonio Spurs
17,Portland Trail Blazers
18,Los Angeles Clippers
19,Charlotte Hornets
20,Dallas Mavericks
21,Atlanta Hawks
22,Brooklyn Nets
23,Memphis Grizzlies
24,Boston Celtics
25,Milwaukee Bucks
26,Miami Heat
27,Denver Nuggets
28,Golden State Warriors
29,Detroit Pistons
30,Minnesota Timberwolves
